date,category,description,amount,type
20-11-2024,Utilities,Utilities transaction,4764.84,Expense
29-09-2024,Health,Health transaction,1618.66,Expense
02-04-2024,Rent,Rent transaction,4636.79,Expense
07-10-2024,Rent,Rent transaction,3882.92,Expense
09-08-2024,Utilities,Utilities transaction,3989.63,Expense
07-10-2024,Rent,Rent transaction,4995.6,Expense
24-11-2024,Bills,Bills transaction,541.31,Expense
19-08-2024,Gift,Gift transaction,34914.93,Income
24-01-2024,Rent,Rent transaction,3146.14,Expense
27-08-2024,Food,Food transaction,3363.28,Expense
12-07-2024,Bonus,Bonus transaction,58008.27,Income
06-10-2024,Gift,Gift transaction,33517.39,Income
06-01-2024,Entertainment,Entertainment transaction,904.4,Expense
27-08-2024,Entertainment,Entertainment transaction,1484.37,Expense
25-02-2024,Shopping,Shopping transaction,1417.33,Expense
21-09-2024,Groceries,Groceries transaction,910.39,Expense
26-12-2024,Shopping,Shopping transaction,756.68,Expense
10-01-2024,Food,Food transaction,814.66,Expense
02-11-2024,Bonus,Bonus transaction,9545.66,Income
12-12-2024,Groceries,Groceries transaction,2824.23,Expense
20-09-2024,Bills,Bills transaction,3479.28,Expense
14-01-2024,Groceries,Groceries transaction,2313.31,Expense
01-01-2024,Rent,Rent transaction,2049.22,Expense
05-03-2024,Transport,Transport transaction,2545.29,Expense
07-12-2024,Food,Food transaction,4418.67,Expense
30-01-2024,Utilities,Utilities transaction,1134.28,Expense
20-09-2024,Travel,Travel transaction,1366.81,Expense
13-03-2024,Travel,Travel transaction,2117.23,Expense
08-10-2024,Food,Food transaction,3913.73,Expense
18-05-2024,Freelance,Freelance transaction,31368.39,Income
10-03-2024,Entertainment,Entertainment transaction,2215.0,Expense
22-10-2024,Bills,Bills transaction,877.47,Expense
20-08-2024,Travel,Travel transaction,2443.65,Expense
07-12-2024,Food,Food transaction,3808.46,Expense
16-04-2024,Shopping,Shopping transaction,2392.44,Expense
01-05-2024,Health,Health transaction,1718.85,Expense
06-04-2024,Transport,Transport transaction,3582.46,Expense
13-03-2024,Salary,Salary transaction,25539.99,Income
24-08-2024,Investment,Investment transaction,52267.88,Income
30-08-2024,Groceries,Groceries transaction,1044.9,Expense
10-07-2024,Bills,Bills transaction,3514.32,Expense
18-09-2024,Travel,Travel transaction,3674.75,Expense
05-06-2024,Transport,Transport transaction,1484.85,Expense
17-12-2024,Investment,Investment transaction,73679.89,Income
28-12-2024,Travel,Travel transaction,643.98,Expense
10-11-2024,Entertainment,Entertainment transaction,946.81,Expense
04-08-2024,Groceries,Groceries transaction,4278.17,Expense
15-08-2024,Groceries,Groceries transaction,965.15,Expense
12-01-2024,Freelance,Freelance transaction,66010.65,Income
12-04-2024,Bills,Bills transaction,2969.58,Expense
25-04-2024,Health,Health transaction,3364.5,Expense
22-03-2024,Freelance,Freelance transaction,63175.49,Income
04-10-2024,Health,Health transaction,1330.75,Expense
19-07-2024,Freelance,Freelance transaction,18991.74,Income
29-11-2024,Shopping,Shopping transaction,4032.3,Expense
